HEATHROW                           © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 5076E 1767N,,,,,,,,,,,,,,
Altitude = 25 metres,,,,,,,,,,,,,,
Latitude = 51:48N Longitude = 00:45W,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
1/5/1987,14.6,1.6,n/a,n/a,n/a,n/a,96,7,1300,1017,210,SSW,230,SW
2/5/1987,8.8,1.9,n/a,n/a,n/a,n/a,97,4,2500,1014,250,WSW,290,WNW
3/5/1987,7.2,2.2,n/a,n/a,n/a,n/a,91,5,2100,1023,340,NNW,330,NNW
4/5/1987,7.3,0,n/a,n/a,n/a,n/a,82,2,2800,1032,350,N,10,N
5/5/1987,10.1,0,n/a,n/a,n/a,n/a,76,7,2400,1033,330,NNW,20,NNE
6/5/1987,11.9,0,n/a,n/a,n/a,n/a,94,4,1100,1032,320,NW,290,WNW
7/5/1987,12.2,0,n/a,n/a,n/a,n/a,91,2,1900,1031,20,NNE,30,NNE
8/5/1987,12.1,0,n/a,n/a,n/a,n/a,95,0,1300,1026,180,S,190,S
9/5/1987,15.2,0,n/a,n/a,n/a,n/a,93,3,1200,1016,0,N,220,SW
10/5/1987,11.1,tr,n/a,n/a,n/a,n/a,77,5,3200,1015,320,NW,350,N
11/5/1987,10.6,2.5,n/a,n/a,n/a,n/a,96,7,1900,1011,240,WSW,220,SW
12/5/1987,12.7,2.8,n/a,n/a,n/a,n/a,95,6,1900,1002,290,WNW,310,NW
13/5/1987,8.9,9.9,n/a,n/a,n/a,n/a,94,4,2300,1011,280,W,290,WNW
14/5/1987,10.0,5.2,n/a,n/a,n/a,n/a,96,7,2000,1002,310,NW,240,WSW
15/5/1987,9.5,0.3,n/a,n/a,n/a,n/a,91,6,1500,1008,330,NNW,310,NW
16/5/1987,9.3,tr,n/a,n/a,n/a,n/a,92,6,2100,1014,270,W,190,S
17/5/1987,10.9,4.7,n/a,n/a,n/a,n/a,96,8,2200,1012,210,SSW,200,SSW
18/5/1987,10.7,2.2,1.2,7,Light,21,97,8,1100,1012,360,N,360,N
19/5/1987,11.9,0,7.4,6,Light,23,91,5,1600,1022,360,N,360,N
20/5/1987,9.5,0.1,10,6,Light,20,81,5,2600,1030,350,N,360,N
21/5/1987,10.4,0.1,3.6,8,Light,27,86,6,2200,1026,350,N,350,N
22/5/1987,9.7,5.9,2.6,8,Light,23,88,6,1600,1021,30,NNE,50,NE
23/5/1987,9.8,2.5,0,5,Light,14,92,8,1000,1020,40,NE,40,NE
24/5/1987,13.1,0,5.9,9,Light,21,92,6,1300,1017,80,E,90,E
25/5/1987,12.6,0,0.9,3,Light,13,89,6,800,1019,70,ENE,60,ENE
26/5/1987,15.9,0.3,5.1,7,Light,24,95,7,800,1016,50,NE,90,E
27/5/1987,14.9,0,12.3,5,Light,12,82,7,2000,1015,20,NNE,90,E
28/5/1987,13.5,tr,3.4,4,Light,15,93,6,700,1018,270,W,320,NW
29/5/1987,14.2,0,10.4,6,Light,16,93,5,2400,1023,290,WNW,270,W
30/5/1987,16.8,11.9,5.8,8,Light,26,94,7,2900,1021,220,SW,210,SSW
31/5/1987,16.2,0,7.9,5,Light,19,99,6,2000,1019,250,WSW,260,W
1/6/1987,15.4,tr,7.7,6,Light,18,91,7,2300,1021,250,WSW,240,WSW
2/6/1987,13.7,3.7,0,6,Light,20,96,8,1200,1016,180,S,210,SSW
3/6/1987,14.8,0.3,2.7,7,Light,21,93,7,2000,1007,210,SSW,270,W
4/6/1987,15.5,13.2,6.7,5,Light,23,96,6,1800,1005,210,SSW,340,NNW
5/6/1987,11.7,6.5,0,7,Light,23,96,7,1000,1009,130,SE,170,S
6/6/1987,14.2,tr,7.8,15,Moderate,40,95,6,2400,1003,210,SSW,190,S
7/6/1987,14.0,2.2,4.9,9,Light,28,81,6,3600,1004,230,SW,200,SSW
8/6/1987,12.1,4.2,0.3,4,Light,15,95,8,1600,1004,270,W,270,W
9/6/1987,11.3,1.9,0.2,3,Light,16,97,7,900,1004,40,NE,250,WSW
10/6/1987,11.3,2.8,8.7,4,Light,20,99,6,2600,1007,180,S,150,SSE
11/6/1987,13.9,3.6,3.3,3,Light,14,97,7,1000,1013,290,WNW,280,W
12/6/1987,12.5,tr,8.7,3,Light,12,97,4,1900,1018,270,W,240,WSW
13/6/1987,13.0,tr,6,4,Light,16,92,5,1300,1014,350,N,310,NW
14/6/1987,13.9,0.3,5.5,4,Light,14,92,6,2400,1012,120,ESE,160,SSE
15/6/1987,12.2,tr,4.2,5,Light,21,97,6,1200,1011,20,NNE,50,NE
16/6/1987,11.7,5.5,10.3,5,Light,21,91,5,2300,1018,320,NW,280,W
17/6/1987,12.6,3.6,2.8,5,Light,21,97,7,1600,1016,320,NW,350,N
18/6/1987,13.5,7.3,2.6,5,Light,18,96,6,2100,1013,250,WSW,190,S
19/6/1987,13.8,1.7,0.1,8,Light,26,99,8,1300,1000,350,N,340,NNW
20/6/1987,14.4,2.8,8.7,5,Light,20,92,5,1900,1012,240,WSW,350,N
21/6/1987,14.9,tr,4.6,4,Light,15,97,6,2800,1017,210,SSW,260,W
22/6/1987,13.2,3.8,2.9,5,Light,18,96,7,1500,1020,240,WSW,280,W
23/6/1987,15.8,0.2,0.1,4,Light,15,100,7,1000,1021,260,W,250,WSW
24/6/1987,15.5,1.5,8,6,Light,21,96,5,2200,1020,300,WNW,320,NW
25/6/1987,14.4,4.5,0.2,6,Light,18,95,7,1300,1016,210,SSW,210,SSW
26/6/1987,16.7,0.3,3.6,6,Light,16,95,7,2200,1013,230,SW,260,W
27/6/1987,17.9,tr,0.1,8,Light,16,96,8,2100,1015,200,SSW,250,WSW
28/6/1987,21.0,tr,2.5,9,Light,21,96,7,2600,1021,200,SSW,210,SSW
29/6/1987,23.2,0,9.4,6,Light,17,95,5,2200,1021,200,SSW,200,SSW
30/6/1987,20.9,0,10.3,6,Light,19,88,5,4000,1021,270,W,270,W
1/7/1987,16.1,0,10.6,5,Light,16,90,5,3400,1023,280,W,270,W
2/7/1987,16.6,0,9.5,5,Light,14,84,6,2400,1026,360,N,110,ESE
3/7/1987,18.0,0,13.3,5,Light,16,92,3,1800,1027,90,E,140,SE
4/7/1987,19.1,0,14.6,4,Light,16,81,2,2600,1026,90,E,120,ESE
5/7/1987,20.5,0,15.1,6,Light,20,80,1,2200,1023,90,E,90,E
6/7/1987,21.8,0,6.2,3,Light,10,80,5,800,1018,350,N,180,S
7/7/1987,20.8,0,8.4,6,Light,17,82,6,1900,1018,340,NNW,330,NNW
8/7/1987,17.9,0,13.3,5,Light,14,81,3,2000,1021,320,NW,330,NNW
9/7/1987,17.7,0,10.1,5,Light,17,69,5,3700,1023,330,NNW,340,NNW
10/7/1987,21.3,0,3.9,7,Light,23,77,5,3700,1021,210,SSW,200,SSW
11/7/1987,20.6,0,7,8,Light,28,80,6,3400,1015,270,W,260,W
12/7/1987,17.2,0,9.6,4,Light,15,94,4,3500,1018,260,W,240,WSW
13/7/1987,19.5,0,7.8,5,Light,17,90,4,2200,1019,180,S,180,S
14/7/1987,20.4,6.3,0.6,8,Light,23,77,7,1100,1015,90,E,100,E
15/7/1987,19.7,6.5,2.7,8,Light,25,96,7,1900,1009,210,SSW,180,S
16/7/1987,16.4,5.1,1.9,3,Light,20,99,7,2400,1004,170,S,160,SSE
17/7/1987,14.6,4.7,0,3,Light,10,98,8,1200,997,320,NW,230,SW
18/7/1987,15.1,15.9,0,4,Light,17,95,8,1400,1000,180,S,180,S
19/7/1987,15.3,12.7,0.6,8,Light,24,99,8,1100,1000,120,ESE,130,SE
20/7/1987,17.1,0.7,2.6,9,Light,31,99,7,1200,1010,10,N,360,N
21/7/1987,14.4,3.2,0,7,Light,19,96,8,900,1016,320,NW,320,NW
22/7/1987,15.6,0.1,0,8,Light,20,95,8,800,1019,10,N,360,N
23/7/1987,14.2,0.3,0,5,Light,15,94,8,800,1021,360,N,360,N
24/7/1987,15.4,0.3,0.1,4,Light,13,98,7,700,1021,320,NW,280,W
25/7/1987,14.2,tr,5.5,5,Light,16,87,5,2900,1021,360,N,350,N
26/7/1987,14.5,1.4,10.2,7,Light,21,95,5,3100,1021,270,W,210,SSW
27/7/1987,17.4,0.4,8.9,9,Light,28,95,6,2900,1015,320,NW,320,NW
28/7/1987,17.4,9.2,4.5,4,Light,16,88,6,2500,1017,270,W,250,WSW
29/7/1987,18.7,8.8,2.2,6,Light,25,96,7,1500,1011,220,SW,270,W
30/7/1987,16.6,1.7,0.2,5,Light,13,97,7,800,1017,320,NW,320,NW
31/7/1987,19.8,tr,6.7,7,Light,26,99,6,1900,1016,270,W,250,WSW
1/8/1987,17.5,4.5,7.4,7,Light,22,87,7,3600,1016,280,W,250,WSW
2/8/1987,17.4,0.4,2.1,5,Light,19,99,7,2400,1012,270,W,250,WSW
3/8/1987,16.9,0.6,6.4,4,Light,20,97,6,3300,1013,320,NW,300,WNW
4/8/1987,14.4,tr,9.4,4,Light,17,84,3,3000,1020,320,NW,340,NNW
5/8/1987,14.2,tr,7.7,3,Light,14,92,5,2500,1023,20,NNE,350,N
6/8/1987,14.5,0,10.6,3,Light,14,93,3,1500,1016,290,WNW,320,NW
7/8/1987,14.5,0,7.7,6,Light,23,91,5,2700,1011,270,W,240,WSW
8/8/1987,14.4,0,0.2,5,Light,16,82,7,2900,1014,250,WSW,210,SSW
9/8/1987,16.4,0.9,1.5,3,Light,13,91,7,2200,1015,260,W,330,NNW
10/8/1987,15.3,0,8.2,3,Light,14,100,4,1000,1020,210,SSW,190,S
11/8/1987,14.6,1.6,4.4,4,Light,19,96,6,1700,1019,180,S,180,S
12/8/1987,16.8,tr,1.6,5,Light,17,91,7,1600,1017,210,SSW,200,SSW
13/8/1987,19.2,tr,0.6,6,Light,20,97,7,1600,1013,210,SSW,270,W
14/8/1987,18.0,0,8.3,5,Light,20,97,6,2100,1015,270,W,230,SW
15/8/1987,19.5,0,13.1,5,Light,21,94,3,3500,1020,270,W,200,SSW
16/8/1987,20.9,0.1,12.7,4,Light,17,78,1,3600,1018,200,SSW,210,SSW
17/8/1987,20.2,1,0.4,2,Light,8,92,7,900,1014,200,SSW,200,SSW
18/8/1987,19.8,0,3.1,5,Light,18,100,6,1500,1015,250,WSW,250,WSW
19/8/1987,19.0,0,6.6,5,Light,23,92,5,2800,1020,210,SSW,180,S
20/8/1987,22.0,0,12.7,7,Light,25,91,3,2700,1018,180,S,200,SSW
21/8/1987,23.5,5.3,7.7,4,Light,19,90,5,1600,1013,210,SSW,140,SE
22/8/1987,21.0,24.7,3.4,6,Light,22,98,6,1200,1008,210,SSW,120,ESE
23/8/1987,17.3,tr,9.4,5,Light,24,95,3,1800,1008,210,SSW,160,SSE
24/8/1987,16.2,7.1,2.2,6,Light,22,97,6,900,1011,350,N,10,N
25/8/1987,13.2,8.8,0,7,Light,19,94,7,1200,1007,300,WNW,290,WNW
26/8/1987,14.0,2.1,2.4,5,Light,19,95,7,1700,1005,310,NW,300,WNW
27/8/1987,13.8,0.1,1.2,6,Light,21,95,6,1500,1018,320,NW,340,NNW
28/8/1987,16.8,0,8.2,5,Light,15,93,4,1600,1024,250,WSW,250,WSW
29/8/1987,17.6,tr,1.4,3,Light,8,97,6,1300,1025,350,N,250,WSW
30/8/1987,17.0,0,4.9,3,Light,16,100,4,500,1023,320,NW,90,E
31/8/1987,16.4,0,6.8,7,Light,20,96,3,1800,1020,80,E,60,ENE
1/9/1987,18.1,5.7,3.7,2,Light,8,96,4,400,1014,360,N,160,SSE
2/9/1987,18.7,tr,0,3,Light,14,95,8,300,1017,20,NNE,180,S
3/9/1987,18.9,1.2,1.9,6,Light,19,96,5,1100,1014,180,S,200,SSW
4/9/1987,15.8,1.8,8.4,5,Light,20,96,3,3000,1017,210,SSW,270,W
5/9/1987,16.3,2,4.8,7,Light,25,92,5,2700,1010,250,WSW,210,SSW
6/9/1987,14.8,1,0.5,9,Light,29,95,6,2700,1014,220,SW,200,SSW
7/9/1987,15.4,0.2,5.5,4,Light,20,93,5,3700,1017,260,W,190,S
8/9/1987,14.4,0,9,3,Light,18,99,4,2100,1020,0,N,190,S
9/9/1987,16.0,1.5,6.3,6,Light,20,92,7,2100,1018,210,SSW,210,SSW
10/9/1987,17.1,0,8.3,8,Light,24,92,7,3300,1014,240,WSW,240,WSW
11/9/1987,16.1,0.5,4.2,8,Light,28,95,7,2600,1013,210,SSW,200,SSW
12/9/1987,18.9,6.5,1,11,Moderate,32,93,7,2200,1007,220,SW,230,SW
13/9/1987,14.9,tr,0.5,3,Light,13,100,7,1700,1012,210,SSW,230,SW
14/9/1987,15.6,tr,9.3,7,Light,24,91,3,3600,1017,240,WSW,240,WSW
15/9/1987,14.4,tr,4,4,Light,19,93,6,2700,1024,210,SSW,200,SSW
16/9/1987,16.1,0.1,0,4,Light,15,91,8,1600,1022,90,E,90,E
17/9/1987,19.4,1.9,5.3,5,Light,21,97,7,1000,1018,240,WSW,220,SW
18/9/1987,18.1,0.6,8.7,4,Light,12,97,6,1700,1024,360,N,340,NNW
19/9/1987,14.8,5.2,0,3,Light,14,98,7,500,1019,110,ESE,150,SSE
20/9/1987,18.4,tr,6.8,5,Light,22,100,4,600,1013,210,SSW,190,S
21/9/1987,18.7,0.1,3.4,6,Light,24,93,7,500,1010,190,S,190,S
22/9/1987,16.0,0,8.1,6,Light,18,92,5,2900,1012,210,SSW,230,SW
23/9/1987,15.2,6.6,4.9,6,Light,22,94,5,2500,1009,210,SSW,190,S
24/9/1987,13.5,2,7.5,6,Light,19,95,3,3400,1006,240,WSW,250,WSW
25/9/1987,11.0,tr,8.1,3,Light,13,97,2,2300,1008,280,W,290,WNW
26/9/1987,9.5,tr,8.4,5,Light,23,95,2,2300,1014,360,N,350,N
27/9/1987,10.1,0,5.6,2,Light,8,91,5,2700,1025,350,N,340,NNW
28/9/1987,11.6,0,0.8,3,Light,10,79,7,1900,1028,360,N,70,ENE
29/9/1987,10.4,tr,5.8,4,Light,14,92,5,1600,1029,50,NE,80,E
30/9/1987,12.4,0,6.4,5,Light,17,97,5,1400,1024,90,E,70,ENE
1/10/1987,12.4,0,9.7,5,Light,18,91,2,600,1022,20,NNE,100,E
2/10/1987,14.1,0.2,4,7,Light,19,95,6,500,1021,80,E,90,E
3/10/1987,15.8,10.3,5.3,8,Light,21,91,7,700,1021,80,E,70,ENE
4/10/1987,16.4,tr,4.2,5,Light,16,98,7,1000,1013,90,E,200,SSW
5/10/1987,16.3,0.2,2.5,5,Light,18,100,7,800,1004,180,S,160,SSE
6/10/1987,13.7,5.3,3,6,Light,26,93,4,2700,998,220,SW,240,WSW
7/10/1987,11.7,13.8,0,9,Light,25,97,7,1800,992,180,S,190,S
8/10/1987,11.2,0.3,6.3,11,Moderate,37,94,4,4200,991,260,W,270,W
9/10/1987,10.4,53.1,0.2,9,Light,28,98,8,1800,999,190,S,180,S
10/10/1987,9.4,12.5,0,5,Light,17,98,8,1000,992,320,NW,300,WNW
11/10/1987,9.3,tr,7.2,5,Light,18,92,4,3600,1002,210,SSW,100,E
12/10/1987,10.5,1.8,9.1,4,Light,23,96,4,2800,1004,230,SW,220,SW
13/10/1987,11.1,1,6.4,5,Light,25,99,5,2500,1000,200,SSW,270,W
14/10/1987,9.0,10.4,3.5,6,Light,23,96,5,2400,997,200,SSW,90,E
15/10/1987,13.1,17.3,0,8,Light,40,99,7,2100,981,210,SSW,180,S
16/10/1987,11.5,6.3,5.1,16,Moderate,66,92,5,2400,988,230,SW,210,SSW
17/10/1987,11.9,0.1,5.6,6,Light,20,92,5,2200,1013,170,S,210,SSW
18/10/1987,13.5,1.4,5.4,13,Moderate,33,84,7,2600,1013,160,SSE,140,SE
19/10/1987,14.7,1.2,1.2,7,Light,19,93,7,1900,1011,110,ESE,110,ESE
20/10/1987,12.8,35.5,0,4,Light,13,99,8,400,1007,110,ESE,120,ESE
21/10/1987,12.8,0.4,2.8,7,Light,23,99,5,2200,1007,190,S,160,SSE
22/10/1987,10.6,0,8.8,3,Light,12,92,2,2800,1018,190,S,200,SSW
23/10/1987,6.8,0,1.4,4,Light,11,98,5,700,1022,20,NNE,350,N
24/10/1987,8.5,0,8.6,2,Light,8,95,2,1100,1026,360,N,350,N
25/10/1987,7.3,tr,6.8,3,Light,n/a,98,1,400,1027,320,NW,150,SSE
26/10/1987,8.2,2.4,0,4,Light,13,99,7,300,1021,120,ESE,130,SE
27/10/1987,12.5,0.2,0,6,Light,20,100,8,400,1010,80,E,140,SE
28/10/1987,9.2,tr,9,3,Light,12,94,2,1900,1018,270,W,260,W
29/10/1987,6.9,0,4.5,3,Light,15,96,4,500,1019,50,NE,110,ESE
30/10/1987,8.7,0.2,0,4,Light,14,99,8,400,1016,90,E,100,E
31/10/1987,11.2,0.9,0,2,Light,10,98,8,400,1016,80,E,140,SE
,,,,,,,,,,,,,,
n/a = data not available,,,,,,,,,,,,,,
"tr = a trace of rain, an amount less than 0.05mm",,,,,,,,,,,,,,